raw_sentence,clean_text,textblob_polarity,sentiment_textblob
"Showing up in style for today's @AIDSWalkSouthDa. There was no missing the Southwestern Health Resources' team, more than 100 strong, walked for the cause. The event helps raise awareness and educate the community on ways to curb and prevent the spread of HIV/AIDs.
#aidsawareness https://t.co/NSHXtkgfrR",cause awareness AIDs strong educate walked help team raise Resources missing #aidsawareness Showing style curb Southwestern spread way today There community prevent Health event,0.12,Partially Positive
"Dial the toll-free helpline number 1097 or download the NACO app to know more about the Window Period!

#à¤•à¥‹à¤£à¤œà¤¾à¤¤à¤²à¥‹à¤œà¤¾à¤£à¤•à¤¾à¤° #beinformed #KnowHIV #knowAIDS #stayinformed #dial1097 #NACOApp #HIVawareness #AIDSawareness #HIV #AIDS #goasacs https://t.co/flw4cMAFWe",toll #HIVawareness #knowAIDS #HIV Window number #NACOApp #dial1097 know #stayinformed #beinformed download #AIDSawareness #KnowHIV #AIDS #goasacs helpline free 1097 Period NACO Dial,0.4,Partially Positive
"RT @punjabsacs: Treatment will be done without any discrimination 
Because discrimination in hospitals due to HIV status 
will not be tolerâ€¦",without done hospital toler discrimination status Because Treatment,0.0,Neutral
"RT @goasacs: Know the facts related to HIV/AIDS, and be the ""à¤œà¤¾à¤£à¤•à¤¾à¤°""!

#à¤•à¥‹à¤£à¤œà¤¾à¤¤à¤²à¥‹à¤œà¤¾à¤£à¤•à¤¾à¤° #beinformed #KnowHIV #knowAIDS #stayinformed #dial10â€¦",related #KnowHIV #knowAIDS #dial10 fact #stayinformed Know #beinformed AIDS,0.0,Neutral
"RT @goasacs: Know about HIV/AIDS and be informed!
Dial the toll-free helpline number 1097 or download the NACO app today!

#à¤•à¥‹à¤£à¤œà¤¾à¤¤à¤²à¥‹à¤œà¤¾à¤£à¤•à¤¾à¤°â€¦",toll informed today free helpline 1097 NACO number Dial Know download AIDS,0.4,Partially Positive
"How do you prioritize love of self in your daily life?

#unitedwerise  #Blackbody #BlackAIDS #Blackliberation #HIVAIDS #HIVawareness #AIDSawareness #Blackhealth #Blackhealthmatters #EndHIVepidemic #BlackCommunityEngagement #solidarity #healing #selflove #EveryBlackBody https://t.co/aZ4bCyJuIX",daily #BlackAIDS #HIVawareness love #EndHIVepidemic #BlackCommunityEngagement prioritize #healing #EveryBlackBody life self #AIDSawareness #unitedwerise #Blackhealth #HIVAIDS #solidarity #Blackbody #selflove #Blackliberation #Blackhealthmatters,0.25,Partially Positive
"Know about HIV/AIDS and be informed!
Dial the toll-free helpline number 1097 or download the NACO app today!

#à¤•à¥‹à¤£à¤œà¤¾à¤¤à¤²à¥‹à¤œà¤¾à¤£à¤•à¤¾à¤° #beinformed #KnowHIV #knowAIDS #stayinformed #dial1097 #NACOApp #HIVawareness #AIDSawareness #HIV #AIDS #goasacs https://t.co/ML6SM9E6jt",toll #HIVawareness informed #knowAIDS #HIV number #NACOApp #dial1097 #stayinformed #beinformed download #AIDSawareness #KnowHIV #AIDS #goasacs free helpline 1097 AIDS today NACO Dial Know,0.4,Partially Positive
"Those living with HIV are not defined by their diagnosis.
All of us, everywhere, must do all we can to help tackle inequalities.

Let's #equalize. 

.
.
.
#YRGCARE #yrgcare121 #HIVTesting #AIDS #hivaids #LongLifeForAll #hivawareness #YRGCARE  #aidsprevention #aidsawareness https://t.co/L3CSHES15W",#yrgcare121 #HIVTesting #hivawareness help tackle #equalize Those must everywhere #AIDS #aidsawareness #YRGCARE #hivaids defined inequality diagnosis living #LongLifeForAll #aidsprevention,0.0,Neutral
"Itâ€™s World Tuberculosis Day! ðŸ«ðŸŽ—ï¸

Yes, TB Is Preventable And Treatable

.
.
.
.
.
.
#hivpositive #womenhealth #hivtesting #quitsmoking #somkingkills #aidsawareness #postofthedayðŸ“· #nhs #unitedkingdom #photoofthedayðŸ“· #cancerawareness #cancerawarenessmonth #sexualhealth https://t.co/qUJbddbw9B",#sexualhealth #cancerawareness #photooftheday #quitsmoking #cancerawarenessmonth #hivpositive Preventable Tuberculosis #aidsawareness #postoftheday #unitedkingdom #somkingkills #nhs #womenhealth World Treatable #hivtesting,0.0,Neutral
"World Tuberculosis day !! ðŸ©¸

#worldtuberculosisday #worldtuberculosisday2023 #tuberculosis #covid #hiv #tb #tbc #endtb #aids #coronavirus #hivawareness #arv #hivaidsawareness #nostigmahiv #kds #hivjakarta #puskesmas #aidsawareness #testhivgratis #hivtest #konselinghiv #kondom https://t.co/bVmlwwygJG",#puskesmas #hivawareness #endtb #hivaidsawareness #tuberculosis #hivjakarta #kondom #nostigmahiv #hivtest #testhivgratis #kds Tuberculosis #aidsawareness #konselinghiv #aids #worldtuberculosisday2023 #worldtuberculosisday #arv #covid #hiv #tbc #coronavirus World,0.0,Neutral
"Happy World TB Day 2023
.
.
#worldtbday #tuberculosis #worldtuberculosisday #endtb #tb #health #covid #healthcare #tbc #coronavirus #hiv #hivawareness #aids #stoptb #hivaidsawareness #stroke #diabetes #aidsawareness #medical #doctor #technology #surgery #nurse #doctors #hospital https://t.co/XbCQj5b5jR",#nurse #diabetes #stoptb #hivawareness #endtb #hivaidsawareness #worldtbday #tuberculosis #health #medical #doctor #aidsawareness #aids World #healthcare Happy #stroke #covid #hiv #technology #tbc 2023 #hospital #coronavirus #doctors #worldtuberculosisday #surgery,0.4,Partially Positive
"Happy World TB Day 2023

#worldtbday #tuberculosis #worldtuberculosisday #endtb #tb #health #covid #healthcare #tbc #coronavirus #hiv #hivawareness #aids #stoptb #hivaidsawareness #stroke #diabetes #aidsawareness #medicalsupplies #medicaldevice #doctor #medicaltechnology https://t.co/rCyMirtmAj",#diabetes #stoptb #medicaldevice #hivawareness #endtb #hivaidsawareness #worldtbday #tuberculosis #health #medicaltechnology #medicalsupplies #doctor #aidsawareness #aids World #healthcare Happy #stroke #covid #hiv #tbc 2023 #coronavirus #worldtuberculosisday,0.8,Positive
"world TB Vday
.
.
.
.
#worldtbday #tuberculosis #worldtuberculosisday #endtb #tb #health #covid #healthcare #tbc #coronavirus #hiv #hivawareness #aids #stoptb #hivaidsawareness #stroke #diabetes #aidsawareness #arv #cancer #nostigmahiv #hivjakarta #kds #itstimetoendtb https://t.co/CHSZRfNYpu",#diabetes #stoptb #hivawareness #endtb #hivaidsawareness #itstimetoendtb #worldtbday #tuberculosis #health #hivjakarta #nostigmahiv #kds world #aidsawareness #aids #arv #healthcare Vday #stroke #cancer #covid #hiv #tbc #coronavirus #worldtuberculosisday,0.0,Neutral
"Wishing world tuberculosis day from Estrange Aurora.
#worldtbday #tuberculosis #worldtuberculosisday #endtb #tb #health #covid #healthcare #tbc #coronavirus #hiv #hivawareness #aids #stoptb #hivaidsawareness #stroke #diabetes #aidsawareness #cancer #EstrangeAurora #Startupindia https://t.co/idWwKG94JL",tuberculosis #EstrangeAurora #diabetes #stoptb #hivawareness Wishing #endtb #hivaidsawareness #worldtbday #tuberculosis #health world #aidsawareness #aids Aurora #healthcare #stroke #cancer #covid #hiv #tbc #Startupindia #coronavirus #worldtuberculosisday Estrange,0.0,Neutral
World tb day #worldtbday #tuberculosis #worldtuberculosisday #endtb #tb #health #covid #healthcare #tbc #coronavirus #hiv #hivawareness #aids #stoptb #hivaidsawareness #stroke #diabetes #aidsawareness #arv #cancer #nostigmahiv #hivjakarta #kds #itstimetoendtb #fountainhead https://t.co/1tsC7Lo3E7,#fountainhead #diabetes #stoptb #hivawareness #endtb #hivaidsawareness #itstimetoendtb #worldtbday #tuberculosis #health #hivjakarta #nostigmahiv #kds #aidsawareness #aids #worldtuberculosisday #arv #healthcare #stroke #cancer #covid #hiv #tbc #coronavirus World,0.0,Neutral
"World TB Day 
#WorldTBDay  #worldtbday #tuberculosis #worldtuberculosisday #endtb #tb #health #covid #healthcare #tbc #coronavirus #hiv #hivawareness #aids #stoptb #hivaidsawareness #stroke #diabetes #aidsawareness #arv #cancer https://t.co/YL535IJyKV",#diabetes #stoptb #hivawareness #endtb #hivaidsawareness #worldtbday #tuberculosis #health #aidsawareness #aids World #arv #healthcare #stroke #cancer #covid #hiv #tbc #coronavirus #WorldTBDay #worldtuberculosisday,0.0,Neutral
"World TB Day 
#WorldTBDay  #worldtbday #tuberculosis #worldtuberculosisday #endtb #tb #health #covid #healthcare #tbc #coronavirus #hiv #hivawareness #aids #stoptb #hivaidsawareness #stroke #diabetes #aidsawareness #arv #cancer https://t.co/4Fn8nf1RaM",#diabetes #stoptb #hivawareness #endtb #hivaidsawareness #worldtbday #tuberculosis #health #aidsawareness #aids World #arv #healthcare #stroke #cancer #covid #hiv #tbc #coronavirus #WorldTBDay #worldtuberculosisday,0.0,Neutral
"RT @HerbsMango: Let us act smart to ensure that the world is free from diseases such as tuberculosis.

https://t.co/Hzcu935p2u

#worldtbdayâ€¦",tuberculosis ensure free #worldtbday smart world disease,0.31,Partially Positive
"RT @HousingAb: Let's Fight Against Tuberculosis.
World Tuberculosis Day.

#abhousingrealtypvtltd               
#tuberculosis #covid #awareâ€¦",Fight Against #abhousingrealtypvtltd #covid #aware Tuberculosis #tuberculosis World,0.25,Partially Positive
"Let's Fight Against Tuberculosis.
World Tuberculosis Day.

#abhousingrealtypvtltd               
#tuberculosis #covid #awareness #tb #tbc #endtb #cancer #coronavirus #hivaidsawareness #worldtuberculosisday #diabetes #hivawareness #health #worldtbday #aidsawareness #healthcare https://t.co/D2tld2sAK0",#diabetes #hivawareness #abhousingrealtypvtltd #endtb #hivaidsawareness #worldtbday #tuberculosis #health Fight Against Tuberculosis #aidsawareness World #healthcare #cancer #covid #tbc #awareness #coronavirus #worldtuberculosisday,0.0,Neutral
